0,1,2,3
22,6,1413.442819,5.0667
16,11,987.4125725,1.8173
15,10,670.1730977,0.26587
8,4,417.8125033,-4.5174
43,12,2104.706516,12.5741
10,4,670.3730353,3.7616
12,6,774.4091461,4.9401
61,49,2405.196874,-13.55
16,5,834.5453052,2.2017
24,15,1360.521247,7.3782
2,0,374.2286591,5.9961
7,5,483.3559883,3.31122
4,2,279.0442272,-1.54538
4,3,257.062283,3.42449
28,15,1286.691075,3.30342
4,3,594.3709101,7.1051
0,0,35.97667771,0.4218
3,1,95.98811499,-0.496
0,0,22.98976928,-0.3808
3,3,103.0633285,-0.1901
2,1,60.02112937,0.0909
3,0,146.1175552,0.2557
1,3,17.0265491,0.162
4,1,399.2077403,5.9724
3,1,118.086255,-0.2228
0,0,79.92616213,0.5779
2,1,104.1069905,-0.3151
7,4,192.0270026,-1.2485
3,3,131.0946287,0.5901
3,1,141.9758361,-0.196
3,4,153.0789786,0.599
3,3,111.0796473,-0.0891
5,4,650.7900519,3.9527
6,4,150.0164379,-2.1226
4,2,232.1211778,1.8551
4,3,218.1055277,1.5521
3,1,123.0320284,0.7798
4,1,62.99564289,-0.3477
1,2,18.01056468,-0.8247
4,2,89.99530854,-0.8444
4,3,97.97689521,-0.9286
2,4,88.10004838,-0.316
4,2,123.0432618,-0.4245
5,2,167.0218576,0.478
3,5,145.1578976,-0.3363
4,2,118.0266087,-0.0642
4,2,97.96737954,-0.6528
2,3,160.1000484,1.6691
2,1,247.1936144,3.3715
6,1,304.189926,2.3639
3,4,136.0636629,0.3677
4,3,139.0303141,-0.777
2,2,94.05309819,0.6638
6,1,248.1273258,0.6179
2,2,198.1156984,2.6958
6,3,336.2049074,2.3655
7,3,221.9881321,-0.8561
5,2,265.0884977,3.2433
4,4,239.1521435,1.306
3,2,249.172879,2.1528
6,0,210.1592946,0.0696
1,2,151.1360995,1.9139
4,3,232.1211778,1.3532
6,1,180.0647255,-1.0397
4,0,645.0236898,6.9362
1,0,277.1830497,4.1686
4,1,313.0981898,3.4292
4,0,219.0895433,1.4578
3,2,267.1259288,2.8499
6,8,172.1436445,-1.6866
3,0,155.0946287,0.4213
4,1,180.0422587,1.3101
5,4,266.1630426,0.4521
9,1,277.0381935,1.1458
4,2,188.104859,1.8863
3,3,213.0556563,1.857
7,4,421.0377826,1.6254
8,8,257.1011706,-1.7562
2,0,307.1936144,4.4178
3,0,366.2671137,4.8302
4,2,161.1284542,0.1764
7,4,364.1092927,3.0365
7,0,385.2477752,2.0882
6,0,194.0803756,-1.0293
6,0,454.2831577,5.09308
4,2,147.1128041,-0.2121
3,2,236.094963,3.3872
4,0,333.2303939,3.4
6,6,226.0953569,-0.0531
3,0,290.1185909,3.4026
4,2,144.0422587,0.3259
6,3,260.1736072,2.0227
5,1,213.0071819,1.157
5,2,381.0758823,3.51392
3,1,303.0792842,3.3779
4,1,299.0825397,1.8492
4,0,273.0226419,1.6155
7,3,294.9488254,0.1299
2,1,212.9748191,3.2472
2,0,274.1236763,3.8186
2,0,318.0957473,4.8944
5,2,276.033541,1.7379
6,4,338.0128055,0.9242
3,1,168.993056,1.7745
6,3,252.1157155,0.5974
7,1,262.0589714,0.8433
3,0,242.070972,3.0605
2,0,314.1549764,4.5284
3,2,229.0173526,2.3645
2,0,344.1080262,5.3767
11,3,468.0692613,2.1145
1,0,275.1673997,4.5538
4,1,260.0248197,1.884
7,4,389.0270757,1.2295
2,4,152.0441904,0.2852
4,4,248.0619486,1.6838
4,4,456.3242001,6.17024
2,1,266.1782987,3.5328
3,2,295.016684,4.3641
3,0,309.2667794,4.4022
3,2,250.0441506,3.0356
2,0,255.1623143,3.3542
12,4,504.3172518,-0.0176
4,2,339.2310625,3.3619
2,1,144.1150298,2.2874
3,0,270.1732133,2.9233
5,1,379.1696052,3.6784
2,0,274.9849352,2.0477
3,0,380.0249961,5.8014
2,1,166.1226406,1.979
