0,1,2,3
6,4,452.0993659,3.3682
7,5,421.1016184,1.8562
6,3,385.1193192,4.0153
6,3,377.0754037,3.0644
14,5,383.0278418,-1.654
6,0,578.0945518,7.0188
6,0,550.0632517,6.2386
6,0,567.1495086,6.1993
6,0,616.1622994,7.2898
6,0,602.1466494,6.8997
6,0,588.1309993,6.8572
10,2,248.0294026,1.0664
5,0,614.135416,8.2454
5,0,628.1510661,8.6355
9,1,398.1590198,1.5567
9,1,419.088413,2.208
9,1,476.20597,2.8729
10,1,491.1692501,3.0907
9,1,461.1586855,3.2119
9,1,488.1871264,3.1163
9,1,424.1746699,2.0909
10,1,479.1504065,2.2934
9,1,459.1197131,2.9882
9,1,514.2216201,3.9073
9,1,399.1430354,2.0316
9,1,483.1008695,2.8858
9,1,447.1430354,3.0741
9,1,604.174511,4.7469
10,3,428.1695845,0.9655
10,1,504.2008846,3.6444
10,1,529.2325191,2.8129
9,1,551.1115764,3.9074
9,1,464.20597,3.0372
9,1,514.2216201,4.0514
10,1,557.2638192,3.8435
9,1,479.1492636,3.351
9,1,502.2027764,3.1588
9,1,538.2216201,4.2257
9,1,449.1398418,2.3193
8,1,389.0778483,2.2339
8,1,401.1045417,2.3581
11,1,513.1648335,3.2598
9,1,528.2372701,3.9498
9,1,538.2216201,3.9029
9,1,462.1903199,2.4844
9,1,502.2027764,3.0147
9,1,413.1586855,2.4201
10,1,467.216869,1.6326
9,1,385.1273853,1.6415
9,1,419.088413,2.208
9,1,460.1746699,3.1315
9,1,485.1586855,3.0634
9,1,529.1460701,4.3153
9,1,438.1903199,2.3369
9,1,438.1903199,2.481
10,1,462.1539344,2.6069
10,1,415.13795,1.6156
9,1,479.1492636,3.351
10,1,515.216869,3.4464
9,1,435.1241918,2.2768
9,1,447.1197131,2.9866
10,1,494.1260054,3.1565
11,1,454.148849,1.8358
9,1,479.1492636,3.351
8,1,433.0273327,2.39
9,1,465.076134,2.8987
8,1,433.0273327,2.39
5,3,288.0997736,2.1204
2,0,200.0837296,2.71042
2,0,176.0837296,1.811
2,0,198.0680796,1.8635
3,0,214.0629942,1.7951
5,0,324.0997736,1.7067
5,3,288.0997736,2.4227
5,0,324.0997736,1.7067
9,1,300.0528405,-1.5232
6,1,233.0357935,-0.795
6,2,199.0480724,-1.0956
9,1,380.0678219,-0.1633
11,3,488.0889512,0.4707
2,0,225.0920418,2.025
2,0,265.1233419,2.9493
2,0,293.0794264,3.0438
2,0,239.1076919,2.33342
2,0,239.1076919,2.33342
2,0,259.0530695,2.6784
2,0,303.0025539,2.7875
3,0,255.1026065,2.0336
3,0,255.1026065,2.0336
2,0,296.0509326,3.6212
2,0,239.9883324,2.0608
2,0,544.1135329,8.3424
2,0,320.0509326,3.9094
2,0,292.0196325,3.1292
2,0,416.0509326,5.8432
2,0,348.0822328,4.4014
2,0,376.1135329,5.4634
2,0,392.0509326,5.2016
2,0,420.0822328,5.9818
2,0,416.0509326,5.0542
2,0,500.144833,6.847
2,0,355.9637745,3.0352
4,0,350.0727307,1.4324
4,0,486.1979312,4.8382
4,0,474.1040308,4.582
2,0,660.4578343,13.7638
2,0,348.0822328,4.6896
4,0,502.135331,4.5732
2,0,376.1135329,5.4666
2,0,364.0196325,5.2104
12,12,482.2561319,-1.517
12,12,482.2561319,-1.517
10,10,454.2499839,-0.9632
7,7,278.1550209,-1.1494
5,5,236.1332228,-0.4641
10,10,440.2343338,-0.8397
12,12,468.2404818,-1.387
12,12,538.3187321,-0.2195
4,4,256.0906893,0.948
4,4,302.0688474,-0.13
4,4,290.0517169,1.6014
4,4,336.029875,0.5234
4,3,268.0906893,1.235
4,3,302.0517169,1.8884
4,0,250.1681279,2.7597
4,1,296.099477,4.0211
4,0,247.1208434,2.27534
4,0,247.1208434,2.27534
4,0,219.0895433,1.6585
4,0,233.1051933,1.7963
4,0,199.1208434,1.2521
3,0,204.9738406,0.9744
4,0,235.1208434,2.13284
4,1,372.183778,5.55872
4,1,462.1840836,7.3951
4,1,434.1527835,6.6149
4,1,372.183778,5.55872
4,1,444.0807614,6.6962
4,1,440.1058333,6.86552
4,1,460.0512109,7.2105
4,1,460.0512109,7.2105
4,1,504.0006953,7.3196
4,1,440.1058333,6.86552
5,1,456.1007479,6.5657
4,1,460.0512109,7.2105
4,1,444.0807614,6.6962
4,1,448.1684336,7.005
4,1,440.1058333,6.86552
